species,biovolume 
Neidium.ampliatum,3132
Neidium.bisulcatum,1230
Neidium.iridis,31482.67
Nitzschia.amphibia,5174.2
Nitzschia.amphibioides,766.6
Nitzschia.angustata,2016
Nitzschia.dissipata,625
Nitzschia.fonticola,344
Nitzschia.frustulum,1020.45
Nitzschia.gracilis,208
Nitzschia.inconspicua,89
Nitzschia.lacuum,35
Nitzschia.liebethruthii,182
Nitzschia.linearis,1624
Nitzschia.palea,391
Nitzschia.paleacea,213
Nitzschia.perminuta,107
Nitzschia.pseudofonticola,631.1
Nitzschia.pumila,101
Nitzschia.spp.,NA
Nitzschia.subacicularis,82
Nitzschia.subtilis,198
Nitzschia.vermicularis,2218
Nupela.fennica,127.81
Nupela.neotropica,NA
Nupela.vitiosa,52.3
Nupela.wellneri,75
Opephora.martyi,140.43
Opephora.olsenii,127.76
Peronia.fibula,NA
Pinnularia.braunii,1551
Pinnularia.divergens,7869.53
Pinnularia.gibba,3760
Pinnularia.interrupta,2599.08
Pinnularia.ludloviana,NA
Pinnularia.lundii,1733
Pinnularia.mesolepta,3575
Pinnularia.microstauron,1584
Pinnularia.pogoii,NA
Pinnularia.spp.,NA
Pinnularia.subcapitata,561
Pinnularia.umbrosa,NA
Pinnularia.viridiformis,12934.5
Pinnularia.viridis,17270
Planothidium.lanceolatum,475
Planothidium.rostratum,191
Platessa.conspicua,130
Psammothidium.grischunum,124
Psammothidium.helveticum,316
Psammothidium.levanderi,1682.15
Psammothidium.marginulatum,136
Psammothidium.subatomoides,118
Psammothidium.ventralis,81
Pseudostaurosira.brevistriata,157
Pseudostaurosira.neoelliptica,40.29
Pseudostaurosira.parasitica,133
Pseudostaurosira.pseudoconstruens,146.6
Pseudostaurosira.robusta,174
Pseudostaurosira.subsalina,191
Pseudostaurosira.trainorii,32.03
Pseudostaurosiropsis.geocollegarum,35.15
Puncticulata.bodanica,3312
Puncticulata.radiosa,1212
Rhoicosphenia.abbreviata,1017
Rhopalodia.gibba,5330.73
Rossithidium.linearis,177.74
Rossithidium.pusillum,95
Sellaphora.disjuncta,348.83
Sellaphora.laevissima,601
Sellaphora.pupula,1183
Sellaphora.seminulum,69
Stauroforma.exiguiformis,118
Stauroneis.anceps,1069
Stauroneis.phoenicenteron,22253
Staurosira.construens,441
Staurosira.elliptica,29
Staurosirella.berolinensis,56.7
Staurosirella.lapponica,668.47
Staurosirella.leptostauron,962
Staurosirella.pinnata,187
Stenopterobia.curvula,2854.89
Stenopterobia.delicatissma,634
Stephanodiscus.agassizensis,286.76
Stephanodiscus.alpinus,1437
Stephanodiscus.hantzschii,577
Stephanodiscus.medius,429.94
Stephanodiscus.minutulus,115
Stephanodiscus.neoastraea,4808
Stephanodiscus.niagarae,31958.43
Stephanodiscus.parvus,113
Stephanodiscus.vestibulis,88
Surirella.biseriata,113040
Surirella.brightwellii,14356
Surirella.linearis,7740
Synedra.acus,363.45
Synedra.cyclopum,728.67
Synedra.delicatissima,NA
Synedra.rumpens,133.52
Synedra.ulna,2755.33
Tabellaria.fenestrata,5633.4
Tabellaria.flocculosa,1061
Tabellaria.quadriseptata,1778
Tabellaria.ventricosa,936
Tabularia.fasciculata,491
Thalassiosira.baltica,763
Thalassiosira.pseudonana,42
